Timestamp,Market,Data Type,Value
1682532000.0,AAVE,Supplied rETH,12122.595927825718
1682532000.0,AAVE,Borrowed rETH,540.0355018122922
1682553600.0,AAVE,Supplied rETH,12145.389512544582
1682553600.0,AAVE,Borrowed rETH,540.0380714673668
1682575200.0,AAVE,Supplied rETH,12145.391690800789
1682575200.0,AAVE,Borrowed rETH,540.0406341372272
1682596800.0,AAVE,Supplied rETH,12180.01288562708
1682596800.0,AAVE,Borrowed rETH,540.0432047634794
1682618400.0,AAVE,Supplied rETH,12212.776083107912
1682618400.0,AAVE,Borrowed rETH,555.0457727747762
1682640000.0,AAVE,Supplied rETH,12167.868201019646
1682640000.0,AAVE,Borrowed rETH,540.0483266535994
1682661600.0,AAVE,Supplied rETH,12167.870377760804
1682661600.0,AAVE,Borrowed rETH,540.0508875324055
1682683200.0,AAVE,Supplied rETH,12242.221242391262
1682683200.0,AAVE,Borrowed rETH,540.053434856513
1682704800.0,AAVE,Supplied rETH,12242.22339636152
1682704800.0,AAVE,Borrowed rETH,540.055968947215
1682726400.0,AAVE,Supplied rETH,12280.598403296442
1682726400.0,AAVE,Borrowed rETH,540.0585054424242
1682748000.0,AAVE,Supplied rETH,12280.60055176563
1682748000.0,AAVE,Borrowed rETH,540.0610330643028
1682769600.0,AAVE,Supplied rETH,12306.002402440266
1682769600.0,AAVE,Borrowed rETH,540.0635624991634
1682791200.0,AAVE,Supplied rETH,12308.19006997763
1682791200.0,AAVE,Borrowed rETH,540.0661143296925
1682812800.0,AAVE,Supplied rETH,12305.192213723314
1682812800.0,AAVE,Borrowed rETH,540.068636590339
1682834400.0,AAVE,Supplied rETH,12307.353719690838
1682834400.0,AAVE,Borrowed rETH,422.0210256930458
1682856000.0,AAVE,Supplied rETH,12311.599233957231
1682856000.0,AAVE,Borrowed rETH,422.0225679038927
1682877600.0,AAVE,Supplied rETH,12311.600542605162
1682877600.0,AAVE,Borrowed rETH,422.02410749759713
1682899200.0,AAVE,Supplied rETH,12320.95708426348
1682899200.0,AAVE,Borrowed rETH,422.0256513725731
1682920800.0,AAVE,Supplied rETH,12320.958398489887
1682920800.0,AAVE,Borrowed rETH,422.0271975246675
1682942400.0,AAVE,Supplied rETH,12320.959709807108
1682942400.0,AAVE,Borrowed rETH,422.028740259824
1682964000.0,AAVE,Supplied rETH,12320.961021851625
1682964000.0,AAVE,Borrowed rETH,422.0302838562738
