Event Type,Transaction Hash,Address,Block Hash,Block Number,Reserve,User,Amount,On Behalf Of,Borrow Rate,Repayer,useAtokens,To,Target,Asset,Referral Code,Initiator,Premium
Withdraw,0xaaa18e08f30845fe9e1ca1d3c2be15e83ce46954853b03bb23ee7b9e6ba2a3af,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xcbc8c59ea0536c03de482fc18a19da544d30a668fbbf248a6afc2d0cda9e3017,19275632,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xb6d17df9b86b9344300801fef6123ab0e2169c451a2f7a3337510f0b8276b070,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xcbc8c59ea0536c03de482fc18a19da544d30a668fbbf248a6afc2d0cda9e3017,19275632,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,178906099896694762751,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xb6d17df9b86b9344300801fef6123ab0e2169c451a2f7a3337510f0b8276b070,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xcbc8c59ea0536c03de482fc18a19da544d30a668fbbf248a6afc2d0cda9e3017,19275632,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xb6d17df9b86b9344300801fef6123ab0e2169c451a2f7a3337510f0b8276b070,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xcbc8c59ea0536c03de482fc18a19da544d30a668fbbf248a6afc2d0cda9e3017,19275632,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,37945354085190513085,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x30edeb471a039a7d19f2fb9c4b02b582eb5c1f8910d05e3af4733fdab77372b8,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xdd4858e11b88a82cb7275fe87fdc2c83b4c7cd2dd61bda13befd21110499b860,19278710,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x77999c2957b015e415671b7ae366902539f1fb9e1a92ea297b338a7ef3e0ae80,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xdd4858e11b88a82cb7275fe87fdc2c83b4c7cd2dd61bda13befd21110499b860,19278710,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x1aEcea38B8626EEB3748234343cff427268Dd487,452133415371021801488,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x77999c2957b015e415671b7ae366902539f1fb9e1a92ea297b338a7ef3e0ae80,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xdd4858e11b88a82cb7275fe87fdc2c83b4c7cd2dd61bda13befd21110499b860,19278710,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x77999c2957b015e415671b7ae366902539f1fb9e1a92ea297b338a7ef3e0ae80,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xdd4858e11b88a82cb7275fe87fdc2c83b4c7cd2dd61bda13befd21110499b860,19278710,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,28447785101985868842,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x66f976f01d061625e583b6421b2c55ca7bcf2463bda6a8572318afb9dd3db3ea,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xe894522657b6fe7348a743128808975b703ff707f2ed67fa318ee1b783e9ce43,19279379,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x5f46f6ca95bec521834f82fd14b4b2e19c2892e4da19b65e01f99ef5f978f000,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xe894522657b6fe7348a743128808975b703ff707f2ed67fa318ee1b783e9ce43,19279379,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,47947446686154592778,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x5f46f6ca95bec521834f82fd14b4b2e19c2892e4da19b65e01f99ef5f978f000,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xe894522657b6fe7348a743128808975b703ff707f2ed67fa318ee1b783e9ce43,19279379,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
